SA_code,Median equivalised total household income (weekly) ($)
100,947
101,924
102,926
103,892
104,"1,009"
105,"1,187"
105,794
106,774
106,755
107,"1,112"
108,876
108,964
109,"1,086"
109,941
111,"1,034"
112,635
112,798
113,"1,078"
113,996
114,967
114,"1,258"
115,962
115,"1,518"
115,877
116,981
116,947
117,651
117,917
117,729
117,"1,155"
118,864
120,819
121,785
121,754
123,735
123,920
123,998
127,934
127,840
127,780
128,732
128,792
129,843
129,"1,131"
129,749
130,637
133,950
133,890
134,"1,022"
135,980
136,668
138,"1,137"
138,804
139,774
140,"1,391"
141,"1,797"
141,"1,610"
142,744
143,896
143,699
144,"1,116"
145,"1,722"
145,647
146,784
146,996
147,"1,866"
147,904
148,854
148,791
149,964
149,760
149,804
150,"1,042"
152,704
152,937
153,981
153,"1,977"
155,810
155,925
156,"1,025"
157,648
157,966
158,777
158,835
159,"1,127"
159,"1,959"
159,"1,557"
161,951
161,"1,054"
162,873
162,"1,225"
163,"1,104"
163,822
164,878
164,"1,447"
165,"1,524"
166,735
167,"1,320"
169,977
169,803
170,"1,157"
170,"1,026"
170,854
171,"1,220"
171,"1,366"
172,"1,673"
173,915
173,786
174,609
174,"1,487"
175,835
176,946
176,939
176,868
177,"1,035"
178,795
179,679
179,881
180,694
180,"1,894"
181,700
182,883
182,"1,653"
183,"1,041"
184,"1,167"
184,"1,031"
185,"2,097"
187,"1,356"
193,"1,088"
201,887
202,832
205,935
206,"1,239"
207,776
208,932
209,"1,597"
210,796
211,"1,570"
211,861
212,735
213,823
214,"1,060"
216,"1,030"
216,615
217,855
218,834
218,"1,190"
221,742
221,"1,034"
222,723
223,"1,379"
224,805
224,"1,049"
226,931
226,834
227,"1,009"
228,885
229,847
229,764
231,"1,220"
231,910
232,930
233,970
234,"1,176"
236,"1,093"
238,833
239,694
241,"1,190"
242,"1,121"
242,878
243,"1,297"
244,"1,136"
246,"1,267"
246,"1,025"
247,862
248,"1,010"
249,776
249,"1,109"
250,"1,299"
251,"1,057"
252,"1,246"
253,995
254,837
254,952
256,856
257,"1,373"
258,762
259,"1,602"
259,728
260,"1,065"
261,824
262,849
263,"1,672"
264,804
264,"1,231"
266,877
266,846
267,872
267,937
268,834
268,811
269,"1,121"
270,992
271,972
272,"1,094"
273,"1,705"
274,"1,080"
276,736
293,"1,095"
302,468
303,911
303,"1,080"
304,973
304,"1,258"
307,817
309,"1,095"
310,"1,284"
317,"1,156"
318,742
319,891
319,991
320,"1,012"
322,937
322,783
322,"1,276"
323,856
323,452
324,"1,230"
325,774
326,888
327,"1,224"
327,473
328,865
331,825
332,935
332,683
333,"1,016"
334,"1,034"
336,893
336,705
338,781
338,457
339,987
339,"1,568"
344,477
345,997
345,550
345,867
345,940
347,"1,076"
347,"1,124"
348,"1,166"
348,477
348,"1,020"
348,805
350,988
352,379
353,"1,436"
356,895
356,454
357,938
357,684
357,684
357,475
358,600
360,517
361,"1,039"
362,"1,046"
363,"1,080"
363,947
365,866
365,799
366,682
366,722
367,983
368,766
369,938
369,"1,150"
369,517
370,"1,080"
373,"1,813"
373,869
373,956
374,964
375,403
375,436
376,476
400,"1,129"
401,"1,195"
401,976
402,758
402,484
403,950
404,665
405,773
407,"1,296"
409,988
410,928
410,"1,021"
411,865
411,790
413,571
415,676
417,769
418,736
419,791
420,873
421,626
422,993
426,"1,130"
427,782
430,593
432,835
433,814
436,"1,014"
437,969
437,781
440,612
440,997
442,626
443,"1,208"
445,"1,056"
446,831
448,749
450,723
450,917
451,763
452,"1,130"
453,898
454,706
455,495
456,777
458,925
460,860
463,848
464,714
465,"1,240"
466,801
468,869
469,"1,969"
471,827
472,866
474,759
476,955
477,"1,005"
478,721
479,749
479,"1,309"
480,675
481,746
482,"1,350"
483,781
484,"1,038"
485,826
486,880
487,704
488,657
493,773
500,879
502,"1,040"
502,"1,858"
502,968
503,"1,114"
504,"1,130"
504,"1,113"
505,722
506,"1,065"
507,831
508,805
509,795
509,"1,322"
510,932
511,873
511,906
512,949
513,"1,763"
513,"1,068"
514,"1,125"
514,833
515,957
516,"1,188"
516,"1,157"
517,"1,407"
517,"1,583"
518,"1,199"
518,"1,066"
518,813
519,"1,205"
520,700
521,927
521,"2,050"
522,900
523,803
523,545
524,987
525,"1,180"
525,881
526,"1,047"
527,769
528,770
528,860
529,864
530,888
530,646
531,"1,471"
532,"1,717"
532,"1,002"
533,"1,212"
534,"1,267"
535,858
536,"1,009"
537,817
537,967
538,989
539,519
539,"1,043"
540,801
541,929
541,"1,262"
542,"1,110"
542,"1,528"
543,"1,892"
543,861
544,732
544,"1,143"
545,990
546,948
546,881
547,"1,184"
548,"1,038"
549,"1,113"
549,547
550,"1,340"
551,834
551,831
552,742
553,"1,285"
553,725
554,934
555,966
556,987
556,944
557,"1,433"
558,833
558,959
559,"1,009"
560,"1,127"
561,"1,031"
562,863
563,749
563,"1,064"
564,893
565,"1,821"
566,556
567,837
567,763
568,741
569,"2,370"
570,"1,118"
570,"1,468"
571,686
572,755
572,"1,845"
573,744
574,"1,080"
574,"1,051"
576,850
577,"1,174"
577,894
578,"1,372"
579,"1,180"
579,"1,541"
580,"1,085"
581,732
582,"1,016"
583,810
584,609
584,680
585,"1,241"
585,"1,139"
585,"1,561"
586,836
586,"1,048"
587,"1,088"
588,844
588,912
590,866
591,862
591,"1,114"
592,837
593,916
593,831
593,664
593,"1,234"
593,982
593,973
593,759
602,587
604,838
606,802
608,780
610,683
612,832
614,"1,018"
615,768
616,771
618,691
620,780
622,638
624,703
626,853
628,"1,194"
630,775
632,760
634,940
636,"1,029"
638,830
640,867
642,828
646,829
648,897
650,822
652,603
654,755
656,653
658,895
702,"1,385"
704,814
705,372
706,435
707,727
710,"1,396"
711,"1,993"
713,465
722,"1,321"
723,"1,379"
723,459
728,"1,329"
736,479
740,359
745,561
745,890
746,564
746,312
793,"1,393"
893,"1,553"
993,852